2021,22,"2020-12-31 00:00:00",6,"UPS GROUND","FOCUS TECHNOLOGY","  13102","   PAQUETERIA","   S/D"," 1z60229r0199911742",Impo,13102,1z60229r0199911742,V115668,1,ALEJANDRO.SANDO,jocelynne,NULL,0,0,NULL
2021,23,"2021-01-04 00:00:00",6,"UPS GROUND","WESCO AIRCRAFT","  16462140","   PAQUETERIA","   S/D"," 1z6937870302582022<br>",Impo,S/D,1z6937870302582022,V115246,1,ALEJANDRO.SANDO,JOCELYNNE,NULL,0,0,NULL
2021,24,"2021-01-04 00:00:00",6,UPS,"MONO ENGINEERING"," 80226","   PAQUETERIA","   S/D"," ",Impo,80226,1ZV8E1900357979141,H112682,1,ALEJANDRO.SANDO,JOCELYNNE,NULL,0,0,NULL
2021,25,"2021-01-04 00:00:00",6,"UPS GROUND","MONO ENGINEERING"," 80227","   PAQUETERIA","   S/D"," ",Impo,80227,1ZV8E1900356641757,V111893,1,ALEJANDRO.SANDO,jocelynne,NULL,0,0,NULL
2021,26,"2021-01-04 00:00:00",6,USPS,AMAZON,"   S/D","    PAQUETERIA","    S/D"," ",Impo,S/D,420856219374889725009422437171,V115715,1,ALEJANDRO.SANDO,"JOSE GALLO",NULL,0,0,NULL
2021,27,"2021-01-04 00:00:00",7,"TOTAL QUALITY LOGISTICS",WESTROCK,"  8223679","  5804","  9015956"," ",Impo,S/D,"  2335079378",VARIOS,1,JOCELYNN,"CHRISTIAN ",NULL,0,0,NULL
2021,28,"2021-01-04 00:00:00",6,,SEMCO,"  S/D","  DK02","   S/D"," ",Impo,S/D,,,1,ALEJANDRO.SANDO,"JOSE GALLO",NULL,0,0,NULL
2021,29,"2021-01-04 00:00:00",48,"LOGISTICA BALDERRAMA",EXPEDITORS,"  ","  LB34","  "," ",Impo,1NI210001,LB34,s/d,1,adrian.gonzalez,ADRIAN,NULL,0,0,NULL
2021,30,"2021-01-05 00:00:00",6,FEDEX,"ELLSWORTH ADHESIVES","   ","   PAQUETERIA","   "," ",Impo,,7968926512,V115430,1,JOCELYNN,"JOSE GALLO",NULL,0,0,NULL
2021,31,"2021-01-05 00:00:00",7,FEDEX,"KIMBERLY CLARK CORP","   ","   PAQUETERIA","   "," ",Impo,,4456707964,VARIOS,1,JOCELYNN,MARTIN,NULL,0,0,NULL
2021,32,"2021-01-05 00:00:00",20,"UNIDOS TRANSPORT",NAI,"LOC# G328","   53214"," 0115581"," HORA DE LLEGADA: 2 50 PM",Expo,RT-2100005,AZK60318068,VARIOS,1,VICTOR.RODRIGUE,,NULL,0,0,NULL
2021,33,"2021-01-05 00:00:00",20,"UNIDOS TRANSPORT",NAI,"LOC# G332","  53178"," 0115589"," HORA DE LLEGADA: 2:25PM",Expo,RT-2100008,AZK60318092,VARIOS,1,VICTOR.RODRIGUE,,NULL,0,0,NULL
2021,34,"2021-01-05 00:00:00",20,"UNIDOS TRANSPORT",NAI,"LOC# G331","    53182","  0115546","CHOFER LLEGO : 10:10AM",Expo,"RT-2100009  ",AZK60318100,VARIOS,1,VICTOR.RODRIGUE,,NULL,0,0,NULL
2021,35,"2021-01-05 00:00:00",20,"UNIDOS TRANSPORT",NAI," LOC# G331","  53187"," 0115596"," HORA DE LLEGADA 10:35",Expo," RT-2100007",AZK60318084,VARIOS,1,VICTOR.RODRIGUE,,NULL,0,0,NULL
